atmnevek,cimek
Erste Bank Hungary Zrt. - ATM,"Kossuth utca 47., 4700 Mátészalka"
KELET Takarék - Fiók,"Kossuth utca 41, 4700 Mátészalka"
Magyar Posta Zrt. - Fiók,"Kassai utca 18., 4283 Létavértes"
FHB Bank Zrt - Fiók,"Szalkay László utca 2, 4700 Mátészalka"
FHB Bank Zrt - ATM,"Szalkay László utca 2, 4700 Mátészalka"
SZABOLCS Takarék - Fiók,"Bajcsy-Zs. u. 30, 4700 Mátészalka"
SZABOLCS Takarék - ATM,"Bajcsy-Zs. u. 30, 4700 Mátészalka"
OTP Bank Nyrt. - Fiók,"Szalkay László utca 34, 4700 Mátészalka"
K&H Bank Zrt. - Fiók,"Kálvin tér 1, 4700 Mátészalka"
K&H Bank Zrt. - ATM,"Kálvin tér 1, 4700 Mátészalka"
OTP Bank Nyrt. - ATM,"Szalkai utca 34, 4700 Mátészalka"
OTP Bank Nyrt. - ATM,"Hősök tere 9, 4700 Mátészalka"
Magyar Posta Zrt. - Fiók,"Kálvin tér 9., 4700 Mátészalka"
CIB Bank Zrt. - ATM,"Kazinczy utca 2., 4700 Mátészalka"
CIB Bank Zrt. - Fiók,"Kazinczy utca 2., 4700 Mátészalka"
Erste Bank Hungary Zrt. - ATM,"Kölcsey utca 15., 4700 Mátészalka"
Erste Bank Hungary Zrt. - Fiók,"Kölcsey utca 15, 4700 Mátészalka"
Magyar Posta Zrt. - Fiók,"Seregély utca 2., 4700 Mátészalka"
OTP Bank Nyrt. - ATM,"Kórház utca 2-4, 4700 Mátészalka"
Magyar Posta Zrt. - Fiók,"Dózsa György út 13., 4331 Nyírcsászári"
Magyar Posta Zrt. - Fiók,"Szabadság tér 3., 4300 Nyírbátor"
KELET Takarék - Fiók,"Váci Mihály utca 21., 4300 Nyírbátor"
Erste Bank Hungary Zrt. - Fiók,"Szabadság tér 10, 4300 Nyírbátor"
Erste Bank Hungary Zrt. - ATM,"Szabadság tér 10., 4300 Nyírbátor"
Magyar Posta Zrt. - Fiók,"Petőfi Sándor utca 1., 4126 Kismarja"
Magyar Posta Zrt. - Fiók,"Petőfi S. utca 23., 4288 Újléta"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Bocskai u. 10, 4126 Kismarja"
Nyírbélteki Tksz - Fiók,"Szabadság tér 20, 4300 Nyírbátor"
OTP Bank Nyrt. - ATM,"Váci Mihály utca hrsz18/1, 4300 Nyírbátor"
OTP Bank Nyrt. - ATM,"Kossuth utca 2, 4300 Nyírbátor"
Magyar Posta Zrt. - Fiók,"Béke utca 29., 4287 Vámospércs"
OTP Bank Nyrt. - Fiók,"Zrínyi utca 1, 4300 Nyírbátor"
OTP Bank Nyrt. - ATM,"Zrinyi utca 1, 4300 Nyírbátor"
OTP Bank Nyrt. - ATM,"Ipari út 16, 4700 Mátészalka"
K&H Bank Zrt. - Fiók,"Zrínyi Ilona út 6, 4300 Nyírbátor"
K&H Bank Zrt. - ATM,"Zrínyi Ilona út 6., 4300 Nyírbátor"
Magyar Posta Zrt. - Fiók,"Petőfi út 7., 4922 Nagyar"
Főnix Takarékszövetkezet - Fiók,"Nagy utca 9, 4287 Vámospércs"
Főnix Takarékszövetkezet - ATM,"Nagy utca 9, 4287 Vámospércs"
KELET Takarék - Fiók,"Kossuth út 161., 4721 Szamoskér"
Magyar Posta Zrt. - Fiók,"Nagy utca 43., 4125 Pocsaj"
Erste Bank Hungary Zrt. - ATM,"Debreceni út 71., 4300 Nyírbátor"
OTP Bank Nyrt. - ATM,"Debreceni út 71, 4300 Nyírbátor"
K&H Bank Zrt. - ATM,"Debreceni utca 71, 4300 Nyírbátor"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Nagy u. 28, 4125 Pocsaj"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Nagy u. 28, 4125 Pocsaj"
KELET Takarék - Fiók,"Tisza utca 11, 4921 Kisar"
Magyar Posta Zrt. - Fiók,"Tisza utca 9., 4921 Kisar"
Magyar Posta Zrt. - Fiók,"Vasvári Pál utca 14., 4945 Szatmárcseke"
KELET Takarék - Fiók,"Kölcsey utca 4, 4945 Szatmárcseke"
KELET Takarék - Fiók,"Rákóczi utca 55, 4951 Tiszabecs"
KELET Takarék - ATM,"Rákóczi utca 55., 4951 Tiszabecs"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 38., 4951 Tiszabecs"
Magyar Posta Zrt. - Fiók,"Bajcsy-Zsilinszky utca 1., 4127 Nagykereki"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Kossuth u. 8, 4127 Nagykereki"
SZABOLCS Takarék - ATM,"Szent II. János Pál Pápa tér 2., 4821 Ópályi"
SZABOLCS Takarék - Fiók,"Szent II. János Pál Pápa tér 4, 4821 Ópályi"
Magyar Posta Zrt. - Fiók,"Széchenyi István utca 2., 4334 Hodász"
Magyar Posta Zrt. - Fiók,"Kálvin János tér 17., 4821 Ópályi"
KELET Takarék - Fiók,"Vörösmarty utca 52, 4948 Milota"
KELET Takarék - Fiók,"Széchenyi út 8., 4334 Hodász"
Magyar Posta Zrt. - Fiók,"Kossuth utca 25., 4948 Milota"
Nyírbélteki Tksz - Fiók,"Kossuth u. 5, 4361 Nyírbogát"
KELET Takarék - Fiók,"Kossuth utca 40, 4946 Tiszakóród"
Főnix Takarékszövetkezet - Fiók,"Kossuth utca 19, 4263 Nyírmártonfalva"
Magyar Posta Zrt. - Fiók,"Kossuth utca 23., 4946 Tiszakóród"
Magyar Posta Zrt. - Fiók,"Széchenyi utca 30., 4263 Nyírmártonfalva"
Magyar Posta Zrt. - Fiók,"Báthori út 13., 4332 Nyírderzs"
Magyar Posta Zrt. - Fiók,"Árpád utca 2., 4361 Nyírbogát"
KELET Takarék - Fiók,"Mezővég út 96., 4913 Panyola"
Magyar Posta Zrt. - Fiók,"Szombathelyi utca 14., 4913 Panyola"
KELET Takarék - Fiók,"Kossuth utca 38, 4337 Jármi"
KELET Takarék - ATM,"Kossuth utca 38., 4337 Jármi"
Magyar Posta Zrt. - Fiók,"Petőfi Sándor utca 39., 4337 Jármi"
KELET Takarék - Fiók,"Bezerédi út 2., 4824 Szamosszeg"
Magyar Posta Zrt. - Fiók,"Rákóczi Ferenc utca 14., 4824 Szamosszeg"
Magyar Posta Zrt. - Fiók,"Petőfi Sándor utca 8., 4338 Papos"
Magyar Posta Zrt. - Fiók,"Árpád utca 1., 4124 Esztár"
Magyar Posta Zrt. - Fiók,"Postakör utca 4., 4363 Nyírmihálydi"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Árpád u. 1., 4124 Esztár"
Magyar Posta Zrt. - Fiók,"Szabadság utca 2/b., 4842 Gulács"
KELET Takarék - Fiók,"Kossuth utca 25, 4931 Tarpa"
KELET Takarék - ATM,"Kossuth utca 25., 4931 Tarpa"
Magyar Posta Zrt. - Fiók,"Kossuth utca 25/a., 4931 Tarpa"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 28., 4115 Ártánd"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 14., 4362 Nyírgelse"
Nyírbélteki Tksz - Fiók,"Vasut u. 2, 4363 Nyírmihálydi"
Nyírbélteki Tksz - Fiók,"Kossuth u. 1, 4362 Nyírgelse"
Magyar Posta Zrt. - Fiók,"Arany János utca 60., 4335 Kántorjánosi"
Magyar Posta Zrt. - Fiók,"Mártírok útja 20/a, 4311 Nyírgyulaj"
Magyar Posta Zrt. - Fiók,"Petőfi tér 2/a, 4275 Monostorpályi"
Magyar Posta Zrt. - Fiók,"Rákóczi út 107., 4822 Nyírparasznya"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Landler tér 1, 4275 Monostorpályi"
OTP Bank Nyrt. - Fiók,"Árpád tér 6, 4254 Nyíradony"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 13/a, 4114 Bojt"
Magyar Posta Zrt. - Fiók,"Árpád utca 10., 4254 Nyíradony"
OTP Bank Nyrt. - ATM,"Árpád tér 6, 4254 Nyíradony"
KELET Takarék - Fiók,"Kossuth utca 3, 4336 Őr"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 3., 4336 Őr"
Magyar Posta Zrt. - Fiók,"József Attila utca 32., 4823 Nagydobos"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Vörösmarty u. 2, 4254 Nyíradony"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Vörösmarty út 2, 4254 Nyíradony"
Magyar Posta Zrt. - Fiók,"Bogáti utca 22., 4325 Kisléta"
Nyírbélteki Tksz - Fiók,"Debrecen u. 2, 4325 Kisléta"
Magyar Posta Zrt. - Fiók,"Kossuth utca 8., 4110 Biharkeresztes"
OTP Bank Nyrt. - ATM,"Kossuth utca 4, 4110 Biharkeresztes"
OTP Bank Nyrt. - Fiók,"Kossuth utca 4, 4110 Biharkeresztes"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Hősök tere 10, 4110 Biharkeresztes"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Hősök tere 10, 4110 Biharkeresztes"
Magyar Posta Zrt. - Fiók,"Petri utca 4., 4326 Máriapócs"
Magyar Posta Zrt. - Fiók,"Kossuth utca 2., 4826 Olcsva"
OTP Bank Nyrt. - ATM,"Kossuth tér 1, 4326 Máriapócs"
Magyar Posta Zrt. - Fiók,"Árpád út 28., 4933 Beregsurány"
KELET Takarék - Fiók,"Árpád út 28, 4933 Beregsurány"
Nyírbélteki Tksz - Fiók,"Kossuth tér 24, 4326 Máriapócs"
KELET Takarék - ATM,"Damjanich utca 71., 4562 Vaja"
KELET Takarék - Fiók,"Damjanich utca 70, 4562 Vaja"
Magyar Posta Zrt. - Fiók,"Láhner utca 37., 4562 Vaja"
Magyar Posta Zrt. - Fiók,"Rákóczi út 2., 4841 Jánd"
Magyar Posta Zrt. - Fiók,"Petőfi utca 3., 4274 Hosszúpályi"
Magyar Posta Zrt. - Fiók,"Bánk tanya 26/B., 4079 Debrecen"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Bagosi út 2, 4274 Hosszúpályi"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Bagosi u. 2, 4274 Hosszúpályi"
Magyar Posta Zrt. - Fiók,"Mátyás király utca 4., 4234 Szakoly"
Magyar Posta Zrt. - Fiók,"Iskola út 8., 4253 Nyíradony"
Nyírbélteki Tksz - Fiók,"Mátyás Király u. 2, 4234 Szakoly"
Magyar Posta Zrt. - Fiók,"Kossuth utca 39., 4565 Pusztadobos"
Magyar Posta Zrt. - Fiók,"Csokonai utca 3., 4123 Hencida"
KELET Takarék - Fiók,"Beregszászi utca 14, 4844 Csaroda"
Magyar Posta Zrt. - Fiók,"Beregszászi utca 8., 4844 Csaroda"
Nyírbélteki Tksz - Fiók,"Pócsi u. 13, 4327 Pócspetri"
Magyar Posta Zrt. - Fiók,"Pócsi utca 9., 4327 Pócspetri"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Köztársaság tér 2-4., 4116 Berekböszörmény"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Köztársaság tér 2-4., 4110 Berekböszörmény"
Magyar Posta Zrt. - Fiók,"Alkotmány utca 83., 4558 Ófehértó"
Magyar Posta Zrt. - Fiók,"Árpád utca 11., 4116 Berekböszörmény"
KELET Takarék - Fiók,"Alkotmány út 67, 4558 Ófehértó"
OTP Bank Nyrt. - ATM,"Jókai út 8-12, 4800 Vásárosnamény"
KELET Takarék - ATM,"Rákóczi út 1., 4800 Vásárosnamény"
KELET Takarék - Fiók,"Rákóczi út 1, 4800 Vásárosnamény"
Magyar Posta Zrt. - Fiók,"Szabadság út 58., 4934 Beregdaróc"
KELET Takarék - Fiók,"Szabadság út 58, 4934 Beregdaróc"
Magyar Posta Zrt. - Fiók,"Szabadság tér 35., 4800 Vásárosnamény"
OTP Bank Nyrt. - ATM,"Szabadság tér 33, 4800 Vásárosnamény"
OTP Bank Nyrt. - Fiók,"Szabadság tér 33, 4800 Vásárosnamény"
K&H Bank Zrt. - ATM,"Szabadság tér 32., 4800 Vásárosnamény"
K&H Bank Zrt. - Fiók,"Szabadság tér 32., 4800 Vásárosnamény"
K&H Bank Zrt. - ATM,"Kossuth Lajos utca 6., 4800 Vásárosnamény"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 12., 4563 Rohod"
SZABOLCS Takarék - Fiók,"Kálvin tér 16, 4564 Nyírmada"
Magyar Posta Zrt. - Fiók,"Ady Endre utca 15., 4564 Nyírmada"
OTP Bank Nyrt. - ATM,"Ady Endre. utca 9, 4564 Nyírmada"
OTP Bank Nyrt. - Fiók,"Szakolyi utca 5, 4233 Balkány"
OTP Bank Nyrt. - ATM,"Szakolyi utca 5, 4233 Balkány"
Magyar Posta Zrt. - Fiók,"Fő utca 76., 4122 Gáborján"
Magyar Posta Zrt. - Fiók,"Vasút utca 8/a, 4561 Baktalórántháza"
Magyar Posta Zrt. - Fiók,"Fő utca 6., 4233 Balkány"
OTP Bank Nyrt. - Fiók,"Köztársaság tér 4, 4561 Baktalórántháza"
KELET Takarék - Fiók,"Vasút út 2, 4561 Baktalórántháza"
OTP Bank Nyrt. - ATM,"Köztársaság . tér 4, 4561 Baktalórántháza"
Magyar Posta Zrt. - Fiók,"Templom utca 20., 4133 Konyár"
Nyírbélteki Tksz - Fiók,"Fő u. 20, 4233 Balkány"
SZABOLCS Takarék - ATM,"Fő utca 31, 4233 Balkány"
SZABOLCS Takarék - Fiók,"Fő utca 31, 4233 Balkány"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Rákóczi u. 6, 4251 Hajdúsámson"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Rákóczi út 6, 4251 Hajdúsámson"
Magyar Posta Zrt. - Fiók,"Rákóczi út 1-1., 4251 Hajdúsámson"
OTP Bank Nyrt. - ATM,"Szabadság tér 4, 4251 Hajdúsámson"
SZABOLCS Takarék - ATM,"Kossuth u. 104, 4324 Kállósemjén"
SZABOLCS Takarék - Fiók,"Kossuth u. 104, 4324 Kállósemjén"
Magyar Posta Zrt. - Fiók,"Kossuth út 98., 4324 Kállósemjén"
Magyar Posta Zrt. - Fiók,"Kossuth utca 11., 4935 Gelénes"
Magyar Posta Zrt. - Fiók,"Hajnal utca 1., 4566 Ilk"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Kossuth u. 81, 4119 Váncsod"
Magyar Posta Zrt. - Fiók,"Dózsa György út 41., 4811 Kisvarsány"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 28., 4119 Váncsod"
Magyar Posta Zrt. - Fiók,"Rákóczi utca 25, 5539 Körösnagyharsány"
Magyar Posta Zrt. - Fiók,"Fő út 13., 4557 Besenyőd"
Magyar Posta Zrt. - Fiók,"Szabadság út 104., 4936 Vámosatya"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Kossuth utca 4 - 6., 4135 Körösszegapáti"
Magyar Posta Zrt. - Fiók,"Kossuth utca 60/a, 4135 Körösszegapáti"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Nagy u. 103, 4273 Hajdúbagos"
Magyar Posta Zrt. - Fiók,"Kossuth utca 56., 4556 Magy"
Magyar Posta Zrt. - Fiók,"Bocskai utca 55., 4273 Hajdúbagos"
Magyar Posta Zrt. - Fiók,"Szabadság tér 1., 4541 Nyírjákó"
Magyar Posta Zrt. - Fiók,"Kossuth út 1., 4235 Biri"
SZABOLCS Takarék - Fiók,"Kossuht u. 4, 4235 Biri"
SZABOLCS Takarék - Fiók,"Kossuth út 1, 4812 Nagyvarsány"
Magyar Posta Zrt. - Fiók,"Fő utca 83., 4537 Nyírkércs"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 28., 4118 Mezőpeterd"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 6., 4555 Levelek"
KELET Takarék - ATM,"Rákóczi u. 4, 4555 Levelek"
KELET Takarék - Fiók,"Rákóczi u. 4, 4555 Levelek"
Magyar Posta Zrt. - Fiók,"Árpád utca 59., 4812 Nagyvarsány"
Magyar Posta Zrt. - Fiók,"Kossuth utca 70., 4121 Szentpéterszeg"
Magyar Posta Zrt. - Fiók,"Arany János utca 2., 4831 Tiszaszalka"
KELET Takarék - Fiók,"Bajcsy utca 4, 4831 Tiszaszalka"
Magyar Posta Zrt. - Fiók,"Árpád út 11., 4937 Barabás"
KELET Takarék - Fiók,"Árpád út 15, 4937 Barabás"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 34., 4542 Petneháza"
Magyar Posta Zrt. - Fiók,"Bessenyei György utca 4., 4813 Gyüre"
Magyar Posta Zrt. - Fiók,"Monostorpályi út 35/a, 4030 Debrecen"
Magyar Posta Zrt. - Fiók,"Kossuth út 36., 4567 Gemzse"
Magyar Posta Zrt. - Fiók,"Nagy utca 77., 4272 Sáránd"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Nagy u. 50/a., 4272 Sáránd"
Magyar Posta Zrt. - Fiók,"Piac tér 5., 4136 Körösszakál"
Magyar Posta Zrt. - Fiók,"Szabadság tér 2., 4544 Nyírkarász"
Polgári Bank Zrt. - ATM,"Piac tér 9, 4136 Körösszakál"
Polgári Bank Zrt. - Fiók,"Kossuth u. 87, 4145 Csökmő"
Polgári Bank Zrt. - Fiók,"Piac tér 9, 4136 Körösszakál"
SZABOLCS Takarék - ATM,"Petőfi utca 9, 4232 Geszteréd"
SZABOLCS Takarék - Fiók,"Petőfi u. 9, 4232 Geszteréd"
HAJDÚ TAKARÉK Takarékszövetkezet - Fiók,"Petőfi út 78/a., 4271 Mikepércs"
HAJDÚ TAKARÉK Takarékszövetkezet - ATM,"Petőfi u. 78/a, 4271 Mikepércs"
Magyar Posta Zrt. - Fiók,"Petőfi utca 67., 4271 Mikepércs"
Szeghalom és Vidéke Tksz. - Fiók,"Bölönyi utca 2-4, 5538 Biharugra"
Magyar Posta Zrt. - Fiók,"Petőfi utca 1., 4232 Geszteréd"
Magyar Posta Zrt. - Fiók,"Erzsébet utca 52., 5538 Biharugra"
KELET Takarék - Fiók,"Béke u. 2/a., 4553 Apagy"
KELET Takarék - ATM,"Béke u. 2, 4553 Apagy"
Magyar Posta Zrt. - Fiók,"Kossuth Lajos utca 67., 4543 Laskod"
Magyar Posta Zrt. - Fiók,"Béke utca 7., 4553 Apagy"
Magyar Posta Zrt. - Fiók,"Faraktár utca 111., 4034 Debrecen"
Magyar Posta Zrt. - Fiók,"Kossuth utca 4., 4231 Bököny"
SZABOLCS Takarék - ATM,"Dózsa Gy. u. 5, 4231 Bököny"
SZABOLCS Takarék - Fiók,"Dózsa Gy. u. 5, 4231 Bököny"
